CASO,Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Status,Comentario,Asignación
119,Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,3,Siempre con costo,Dado que cancelo anticipadamente Cuando reviso el monto Entonces se aplican los costos de cancelación del producto,Pendiente,,
120,Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,4,Código de trámite en pantalla,Dado que envío la solicitud de cancelación anticipada Cuando se registra Entonces veo en pantalla el código de identificación del trámite,Pendiente,,
121,Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,5,Efecto,"Dado que la solicitud se registra Cuando el BO la confirma y se cobra el monto de cancelación Entonces el préstamo pasa a CANCELADO ANTICIPADAMENTE, se cancelan las cuotas futuras y se da de baja el descuento por nómina",Pendiente,,
122,Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,1,Listado de solicitudes,"Dado que accedo al espacio de cancelaciones Cuando lo consulto Entonces veo las solicitudes de los tres tipos (arrepentimiento, anticipada, desistimiento) con su estado",Pendiente,,
123,Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,2,Detalle del caso,"Dado que abro una solicitud Cuando la reviso Entonces veo tipo, préstamo, empleado, código de trámite, fecha y monto",Pendiente,,
124,Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,3,Confirmar la cancelación,Dado que reviso una solicitud pendiente Cuando la marco como cancelación confirmada Entonces el préstamo pasa a su estado final (ARREPENTIDO / CANCELADO ANTICIPADAMENTE / PRECANCELADO) Y se disparan los efectos (baja del descuento por nómina y cancelación de cuotas futuras),Pendiente,,
125,Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,4,Seguimiento,Dado que hay solicitudes en distintos estados Cuando filtro por estado (pendiente / confirmada) o por tipo Entonces veo solo las que coinciden,Pendiente,,
126,Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,1,Cancelación disponible antes del desembolso,"Dado que la solicitud ya fue creada y firmada, pero el préstamo todavía no fue desembolsado, Cuando el empleado solicita la cancelación, Entonces la solicitud se cancela.",Pendiente,,
127,Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,2,Fuera de alcance una vez desembolsado,"Dado que el préstamo ya fue desembolsado, Cuando el empleado intenta cancelar la solicitud, Entonces la cancelación ya no está disponible.",Pendiente,,
128,Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,3,Estado final de la solicitud,"Dado que la cancelación fue registrada correctamente, Cuando consulto el estado de la solicitud, Entonces la solicitud figura como cancelada.",Pendiente,,
129,Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,4,Sin ingreso al circuito de desembolso,"Dado que la solicitud fue cancelada antes del desembolso, Cuando el sistema procesa desembolsos pendientes, Entonces esa solicitud no se considera para desembolso ni reintentos.",Pendiente,,
130,Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,5,Registro en auditoría,"Dado que se canceló una solicitud antes del desembolso, Cuando la operación queda registrada, Entonces se guarda auditoría con quién canceló, fecha y hora.",Pendiente,,
