Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Validación,Resultado Esperado,Resultado Obtenido,Status,Asignación
Sin épica,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,4,Ingresan fondos dentro de la ventana,"si se cumplen las 24hs SIN tener fondos para desembolsar, la solicitud SE CANCELA. (a días corridos)",,,,Pendiente,
Sin épica,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,5,Destino fijo,"Dado que tengo varias cuentas
Cuando se desembolsa
Entonces el dinero va siempre a mi cuenta sueldo, sin que yo elija destino",,,,Pendiente,
Sin épica,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,6,Trazabilidad,"Dado que se intenta un desembolso (exitoso o pendiente)
Cuando se procesa
Entonces queda registrado para auditoría: monto, cuenta destino, resultado y fecha",,,,Pendiente,
Sin épica,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,7,Escenario 7,FIFO para procesar la cola de desembolsos pendientes,,,,Pendiente,
Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,1,Solo cuotas del ciclo vigente,"Dado que tengo préstamos en distintos estados
Cuando genero el archivo antes del día de corte
Entonces el archivo incluye solo las cuotas de préstamos OTORGADOS cuyo descuento cae en el mes corriente
Y excluye préstamos en cualquier otro estado
Y se registra en auditoría la exportación (operador, fecha, hora)",,,,Pendiente,
Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,2,Préstamo otorgado después del corte,"Dado que un préstamo fue OTORGADO después del día de corte del ciclo
Cuando cae el día de exportación
Entonces ese préstamo queda excluido del archivo del mes corriente
Y entra en el archivo del ciclo siguiente (primera cuota a ~33 días del otorgamiento)",,,,Pendiente,
Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,3,Solo los datos necesarios para el descuento,"Dado que genero el archivo
Cuando reviso su contenido
Entonces incluye únicamente: número de legajo, id cuota, nombre del empleado, importe de la cuota.
Y no incluye datos personales accesorios que no sean necesarios para el descuento en Finegans",,,,Pendiente,
Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,4,Archivo identificable,"Dado que genero el archivo
Cuando lo descargo o se envía
Entonces tiene un nombre con fecha y hora que lo identifica de forma única (ej. ""Cuotas a Descontar 20-06-2026 16:35:00"")
ABIERTO:
Confirmar si el legajo viene de la importación masiva de empleados o de acceso directo a la base de La Mantovana (sin cerrar al 12/6 — Seba lo confirma)",,,,Pendiente,
Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,1,Configurar el día de corte,"Dado que soy administrador
Cuando accedo a la configuración
Entonces puedo definir el día del mes en que se genera y envía el archivo (default: día 20)
Y ese valor es un valor en base.",,,,Pendiente,
Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,2,Envío automático por mail,"Dado que llega el día de corte configurado
Cuando el sistema genera el archivo
Entonces lo envía automáticamente por mail como adjunto a la casilla configurada (Isis Rondon, CC Nicolás López)",,,,Pendiente,
Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,3,Registro en auditoría del envío,"Dado que el sistema completa el envío automático
Cuando el mail se despacha
Entonces queda registrado: fecha, hora, destinatarios, nombre del archivo adjunto, resultado del envío (ok / error)",,,,Pendiente,
Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,4,Fallo en el envío automático,"Dado que el envío automático falla (error de servidor de mail, casilla inválida)
Cuando ocurre el error
Entonces el sistema notifica al backoffice para acción manual
Y el archivo queda disponible para descarga y envío manual",,,,Pendiente,
Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,1,Listado de exportaciones,"Dado que accedo al histórico
Cuando lo consulto
Entonces veo todas las exportaciones, de la más reciente a la más antigua",,,,Pendiente,
Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,2,Detalle de cada exportación,"Dado que miro una fila del histórico
Cuando la reviso
Entonces veo fecha, cantidad de registros, monto total, estado y operador que la generó",,,,Pendiente,
Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,3,Paginación,"Dado que hay muchas exportaciones
Cuando consulto la primera página
Entonces veo un bloque acotado (25 por defecto)",,,,Pendiente,
Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,4,Escenario 4,"filtrado por usuario, fecha",,,,Pendiente,
Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,1,Importación exitosa,"Dado que tengo el archivo de liquidaciones enviado por La Mantovana (llega el 4° día hábil del mes)
Cuando lo cargo en el sistema
Entonces el sistema lo procesa y actualiza los pagos correspondientes",,,,Pendiente,
Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,2,Archivo con formato incorrecto,"Dado que el archivo no tiene el formato esperado (columnas faltantes, tipos incorrectos, estructura desconocida)
Cuando lo cargo
Entonces se rechaza íntegro con un mensaje claro
Y no se actualiza ningún pago",,,,Pendiente,
Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,3,Resumen al finalizar,"Dado que la importación termina
Cuando consulto el resultado
Entonces recibo un resumen con: total de registros recibidos, cuántos se procesaron correctamente, cuántos con error",,,,Pendiente,
Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,4,Detalle de los errores,"Dado que hubo registros con error en la importación
Cuando reviso el resumen
Entonces veo, por cada error: préstamo, empleado y descripción del fallo
ABIERTO:
Quarks debe definir los campos exactos del archivo de vuelta y pasárselos a La Mantovana para que los configure en Finnegans (sin cerrar al 12/6)",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,1,Pago sin préstamo coincidente,"Dado que un pago apunta a un legajo o identificador que no existe en el sistema
Cuando intento emparejarlo
Entonces lo registro como error y continúo con el resto",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,2,Pago completo,"Dado que el monto pagado es igual al monto de la cuota (la primera que NO esté pagada previamente)
Cuando lo aplico
Entonces la cuota queda PAGADA con la fecha de retención del pago de haberes",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,3,Pago parcial,"Dado que el monto pagado es menor al monto de la cuota
Cuando lo aplico
Entonces la cuota NO queda PAGADA
Y queda con status PAGO CON ERROR
Y se genera un error con descripción del desvío
Y marcando el monto faltante",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,4,Préstamo saldado,"Dado que con este pago todas las cuotas del préstamo quedan PAGADAS
Cuando se completa la aplicación
Entonces el préstamo pasa a estado PAGADO",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,5,Préstamo ya pagado,"Dado que un préstamo ya estaba en estado PAGADO
Cuando llega un nuevo dato para ese préstamo
Entonces se genera un error ""Préstamo ya pagado"" y el registro no se modifica",,,,Pendiente,
Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,6,Cuota pagada de más: PAGO CON ERROR,"Dado que un préstamo ya estaba en estado PAGADO
Cuando llega un nuevo dato para ese préstamo
Entonces se genera un error ""PAGO CON ERROR"" y el registro no se modifica",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,1,Cargar pago manual,"Dado que estoy en el detalle del préstamo / panel de diferencias
Cuando uso el botón de carga manual de pago
Entonces selecciono primero al cliente y luego la cuota del préstamo
Y registro el monto del pago y la fecha
Y se crea una línea dentro de los pagos del préstamo",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,2,Completar una cuota en PAGO CON ERROR,"Dado que una cuota quedó en estado PAGO CON ERROR con un monto faltante (ej. vinieron 90 de 100)
Cuando cargo manualmente el monto faltante (10) y confirmo
Entonces la cuota queda PAGADA con su fecha
Y, si con esa cuota se saldan todas las del préstamo, el préstamo pasa a PAGADO",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,3,Pago manual aún insuficiente,"Dado que el monto cargado es menor al faltante de la cuota
Cuando lo confirmo
Entonces la cuota sigue en PAGO PARCIAL
Y se actualiza el saldo faltante restante",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,4,Dar por pagada sin completar el monto,"Dado que una cuota quedó en PAGO CON ERROR y operativamente decido darla por pagada
Cuando la marco como PAGADA desde el backoffice
Entonces la cuota queda PAGADA
Y queda registrado el monto efectivamente percibido y el faltante no cobrado (para el cuadre posterior)",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,5,Auditoría del pago manual,"Dado que cargo un pago manual o doy una cuota por pagada
Cuando lo confirmo
Entonces se registra en auditoría: quién lo cargó, cuándo (fecha y hora) y cuánto",,,,Pendiente,
Descuento de cuotas,PER-71,Cargar pago realizado manualmente,6,Devolución sobre cuota PAGO CON ERROR,"Dado que a un cliente se le descontó de más y la cuota quedó en estado PAGO CON ERROR
Cuando registro una devolución al cliente
Entonces se registra el monto devuelto sobre esa cuota
Y la cuota queda PAGADA (sin el excedente)
Y queda asentado en auditoría: quién registró la devolución, cuándo y cuánto",,,,Pendiente,
Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,1,Listado,"Dado que accedo a las liquidaciones
Cuando las consulto
Entonces veo las importadas de la más reciente a la más antigua",,,,Pendiente,
Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,2,Detalle,"Dado que selecciono una liquidación
Cuando la abro
Entonces veo: empleado, préstamo, monto total y fecha de retención",,,,Pendiente,
Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,3,Filtro por estado,"Dado que tengo liquidaciones en distintos estados (procesada, reconciliada, con errores)
Cuando filtro por un estado
Entonces veo solo las que están en ese estado",,,,Pendiente,
Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,4,Paginación,"Dado que hay muchas liquidaciones
Cuando consulto una página
Entonces veo un bloque acotado (25 por defecto)",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,1,Botón en la sección Préstamos,"Dado que estoy en la sección Préstamos de la app
Cuando la abro
Entonces veo un botón rotulado ""Botón de Arrepentimiento"" accesible dentro de esa sección",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,2,Dentro del plazo,"Dado que recibí el desembolso hace 10 días corridos o menos
Cuando solicito el arrepentimiento
Entonces la solicitud se acepta",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,3,Sin costo,"Dado que me arrepiento dentro del plazo
Cuando reviso lo que tengo que devolver
Entonces devuelvo únicamente el capital recibido, sin intereses, comisiones ni penalidades",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,4,Código de trámite en pantalla,"Dado que envío la solicitud de arrepentimiento
Cuando se registra
Entonces veo en pantalla el código de identificación del trámite",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,5,Efecto,"Dado que envié la solicitud dentro del plazo
Cuando se registra
Entonces queda como solicitud de cancelación pendiente con su código
Y la cancelación se completa cuando el BO la confirma: el préstamo pasa a ARREPENTIDO, se cancelan las cuotas futuras y se frena el descuento por nómina",,,,Pendiente,
Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,6,Fuera del plazo,"Dado que pasaron más de 10 días corridos desde el desembolso
Cuando intento arrepentirme
Entonces el arrepentimiento ya no está disponible y se me ofrece la cancelación anticipada",,,,Pendiente,
Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,1,Disponible en cualquier momento,"Dado que mi préstamo está otorgado
Cuando quiero cancelarlo por completo de forma anticipada
Entonces puedo iniciar la cancelación en cualquier momento",,,,Pendiente,
Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,2,Monto transparente antes de confirmar,"Dado que inicio la cancelación anticipada
Cuando reviso la operación
Entonces veo el monto total a pagar desglosado (capital restante + costos aplicables) antes de confirmar",,,,Pendiente,
Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,3,Siempre con costo,"Dado que cancelo anticipadamente
Cuando reviso el monto
Entonces se aplican los costos de cancelación del producto",,,,Pendiente,
Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,4,Código de trámite en pantalla,"Dado que envío la solicitud de cancelación anticipada
Cuando se registra
Entonces veo en pantalla el código de identificación del trámite",,,,Pendiente,
Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,5,Efecto,"Dado que la solicitud se registra
Cuando el BO la confirma y se cobra el monto de cancelación
Entonces el préstamo pasa a CANCELADO ANTICIPADAMENTE, se cancelan las cuotas futuras y se da de baja el descuento por nómina",,,,Pendiente,
Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,1,Listado de solicitudes,"Dado que accedo al espacio de cancelaciones
Cuando lo consulto
Entonces veo las solicitudes de los tres tipos (arrepentimiento, anticipada, desistimiento) con su estado",,,,Pendiente,
Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,2,Detalle del caso,"Dado que abro una solicitud
Cuando la reviso
Entonces veo tipo, préstamo, empleado, código de trámite, fecha y monto",,,,Pendiente,
Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,3,Confirmar la cancelación,"Dado que reviso una solicitud pendiente
Cuando la marco como cancelación confirmada
Entonces el préstamo pasa a su estado final (ARREPENTIDO / CANCELADO ANTICIPADAMENTE / PRECANCELADO)
Y se disparan los efectos (baja del descuento por nómina y cancelación de cuotas futuras)",,,,Pendiente,
Cancelaciones,PER-75,Gestionar y confirmar las cancelaciones desde el backoffice,4,Seguimiento,"Dado que hay solicitudes en distintos estados
Cuando filtro por estado (pendiente / confirmada) o por tipo
Entonces veo solo las que coinciden",,,,Pendiente,
Sin épica,PER-76,Visualizar solicitudes pendientes de fondos,1,Escenario 1,expira en xtiempo ordenadas por orden de llegada,,,,Pendiente,
Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,1,Cancelación disponible antes del desembolso,"Dado que la solicitud ya fue creada y firmada, pero el préstamo todavía no fue desembolsado,
Cuando el empleado solicita la cancelación,
Entonces la solicitud se cancela.",,,,Pendiente,
Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,2,Fuera de alcance una vez desembolsado,"Dado que el préstamo ya fue desembolsado,
Cuando el empleado intenta cancelar la solicitud,
Entonces la cancelación ya no está disponible.",,,,Pendiente,
Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,3,Estado final de la solicitud,"Dado que la cancelación fue registrada correctamente,
Cuando consulto el estado de la solicitud,
Entonces la solicitud figura como cancelada.",,,,Pendiente,
Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,4,Sin ingreso al circuito de desembolso,"Dado que la solicitud fue cancelada antes del desembolso,
Cuando el sistema procesa desembolsos pendientes,
Entonces esa solicitud no se considera para desembolso ni reintentos.",,,,Pendiente,
Cancelaciones,PER-91,Cancelar una solicitud antes del desembolso,5,Registro en auditoría,"Dado que se canceló una solicitud antes del desembolso,
Cuando la operación queda registrada,
Entonces se guarda auditoría con quién canceló, fecha y hora.",,,,Pendiente,
